baseline,num_repaired,num_sample_evaluable,repaired_success_rate,repair_gain_success_rate,scaffold_preservation,editable_validity,anchor_validity,clash_free_rate,mean_clash_count,mean_qed,mean_logp,mean_posebusters_like_pass,mean_contact_fingerprint_similarity,mean_contact_fingerprint_similarity_gain,mean_contact_recovery,mean_contact_recovery_gain,mean_vina_like_proxy,mean_vina_like_gain,mean_anchor_error_reduction,mean_clash_count_reduction,mean_internal_candidate_budget,internal_budget_types,mean_ligand_efficiency_proxy,mean_sa_fallback,source
feedback_kernel_geometry_policy,17,17,0.8823529411764706,0.17647058823529413,1.0,1.0,1.0,0.8823529411764706,0.23529411764705882,0.37805054423109263,0.5994705882352958,0.8823529411764706,0.8124291805601103,-0.051051995424943444,0.8811145372691805,0.0020283975659229313,1.2480301884456233,-0.5774170188424727,-0.46332210742027274,-0.23529411764705882,1.0,['single_policy_output'],0.038494167377474735,4.012352941176469,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_knn_geometry_policy,17,17,0.4117647058823529,0.0,1.0,1.0,0.5294117647058824,0.8823529411764706,0.11764705882352941,0.37805054423109263,0.5994705882352958,0.8823529411764706,0.7794064184227093,-0.08407475756234435,0.8718684250311819,-0.007217714672075718,1.161305761955237,-0.4906925923520863,-0.9074538723842039,-0.11764705882352941,1.0,['single_policy_output'],0.036622761047982906,4.012352941176469,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_learned_editable_contact_policy,17,17,0.8823529411764706,0.29411764705882354,1.0,1.0,1.0,0.8823529411764706,0.17647058823529413,0.37805054423109263,0.5994705882352958,0.8823529411764706,0.8584938572891191,-0.004987318695934717,0.8950654662164717,0.015979326513213987,1.0558117668024758,-0.38519859719932514,0.0,-0.17647058823529413,1.0,['single_policy_output'],0.03176944194638393,4.012352941176469,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_learned_geometry_policy,17,17,0.7647058823529411,0.058823529411764705,1.0,1.0,0.8235294117647058,0.7647058823529411,1.1176470588235294,0.37805054423109263,0.5994705882352958,0.7647058823529411,0.7807870346260438,-0.08269414135900989,0.8755322181346302,-0.003553921568627458,3.098101183175245,-2.4274880135720944,-0.7118515961709103,-1.1176470588235294,1.0,['single_policy_output'],0.09612968965506867,4.012352941176469,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_linear_refinement,17,17,0.7647058823529411,0.058823529411764705,1.0,1.0,0.9411764705882353,0.8235294117647058,0.29411764705882354,0.37805054423109263,0.5994705882352958,0.8235294117647058,0.8023870762880051,-0.06109409969704873,0.8623017535349973,-0.01678438616826041,1.3672543799902368,-0.6966412103870862,-0.36656946576120947,-0.29411764705882354,1.0,['single_policy_output'],0.04089175634565136,4.012352941176469,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_residual_ensemble_policy,17,17,0.7058823529411765,0.0,1.0,1.0,0.8235294117647058,0.8823529411764706,0.5882352941176471,0.37805054423109263,0.5994705882352958,0.8823529411764706,0.7936448308175064,-0.06983634516754747,0.8652381004875713,-0.013848039215686277,2.0887251700484892,-1.4181120004453387,-0.7106594678636178,-0.5882352941176471,7.0,['residual_offset_selection'],0.06527937181109127,4.012352941176469,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_ridge_editable_contact_policy,17,17,0.9411764705882353,0.29411764705882354,1.0,1.0,1.0,0.9411764705882353,0.17647058823529413,0.37805054423109263,0.5994705882352958,0.9411764705882353,0.8661973847256034,0.002716208740549512,0.8994419544429464,0.020355814739688987,1.035974808289086,-0.3653616386859355,0.0,-0.17647058823529413,1.0,['single_policy_output'],0.031837725881667195,4.012352941176469,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_rule_repair,17,17,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.37805054423109263,0.5994705882352958,1.0,0.8634811759850538,0.0,0.8790861397032574,0.0,0.6706131696031505,0.0,0.0,0.0,1.0,['reference_or_rule_copy'],0.020407296606749854,4.012352941176469,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
identity_failed_candidate,17,17,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.37805054423109263,0.5994705882352958,1.0,0.8634811759850538,0.0,0.8790861397032574,0.0,0.6706131696031505,0.0,0.0,0.0,1.0,['single_failed_candidate'],0.020407296606749854,4.012352941176469,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
no_failed_candidate_policy,17,17,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.37805054423109263,0.5994705882352958,1.0,1.0,0.13651882401494617,1.0,0.12091386029674238,0.6246583364792998,0.045954833123850715,0.0,0.0,10.0,['editable_offset_selection'],0.01987096406111977,4.012352941176469,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
no_feedback_repair,17,17,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.37805054423109263,0.5994705882352958,1.0,0.8634811759850538,0.0,0.8790861397032574,0.0,0.6706131696031505,0.0,0.0,0.0,1.0,['single_failed_candidate'],0.020407296606749854,4.012352941176469,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
rerank_only,17,17,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.37805054423109263,0.5994705882352958,1.0,0.8634811759850538,0.0,0.8790861397032574,0.0,0.6706131696031505,0.0,0.0,0.0,1.0,['single_failed_candidate'],0.020407296606749854,4.012352941176469,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
